product_id,product_name,category,objective,current_price,optimal_price,price_change_pct,current_demand,optimal_demand,current_margin,optimal_margin,margin_uplift_pct,current_revenue,optimal_revenue,revenue_uplift_pct,avg_competitor_price,action
1026,Home & Garden Item 06,Home & Garden,margin,68.18,85.57,25.5,30.3,28.9,1065.94,1520.68,42.7,2066.41,2475.74,19.8,59.64,RAISE
1027,Home & Garden Item 07,Home & Garden,margin,60.6,79.45,31.1,43.1,35.8,1366.56,1810.03,32.5,2609.12,2842.59,8.9,56.24,RAISE
1028,Home & Garden Item 08,Home & Garden,margin,181.17,229.33,26.6,35.9,33.4,3170.38,4561.67,43.9,6506.31,7667.31,17.8,166.7,RAISE
1029,Home & Garden Item 09,Home & Garden,margin,187.12,229.15,22.5,33.9,33.4,3482.81,4839.42,39.0,6343.24,7660.1,20.8,154.29,RAISE
1030,Home & Garden Item 10,Home & Garden,margin,202.1,247.27,22.4,6.4,5.7,682.91,865.79,26.8,1298.49,1413.46,8.9,189.86,RAISE
1031,Sports Item 01,Sports,margin,59.78,63.48,6.2,3.4,2.9,82.61,81.96,-0.8,204.83,187.09,-8.7,57.36,RAISE
1032,Sports Item 02,Sports,margin,114.84,145.84,27.0,10.4,10.1,554.65,848.32,52.9,1193.47,1466.38,22.9,103.19,RAISE
1033,Sports Item 03,Sports,margin,46.12,61.01,32.3,21.7,18.5,451.68,661.86,46.5,1000.55,1130.77,13.0,44.05,RAISE
1034,Sports Item 04,Sports,margin,121.3,187.56,54.6,49.4,34.0,2130.43,3720.98,74.7,5994.46,6381.16,6.5,137.12,RAISE
1035,Sports Item 05,Sports,margin,167.06,243.85,46.0,14.4,10.8,975.72,1556.12,59.5,2406.31,2625.47,9.1,170.59,RAISE
1036,Sports Item 06,Sports,margin,29.66,43.01,45.0,26.6,19.5,288.05,471.79,63.8,789.6,839.53,6.3,32.15,RAISE
1037,Sports Item 07,Sports,margin,32.38,45.95,41.9,8.3,6.4,111.26,173.58,56.0,267.45,294.97,10.3,32.14,RAISE
1038,Sports Item 08,Sports,margin,112.66,140.48,24.7,10.4,10.6,480.26,783.77,63.2,1169.61,1486.29,27.1,98.11,RAISE
1039,Sports Item 09,Sports,margin,128.81,180.85,40.4,18.3,14.9,866.93,1477.37,70.4,2363.38,2690.92,13.9,125.14,RAISE
1040,Sports Item 10,Sports,margin,138.74,172.21,24.1,19.6,19.6,1232.14,1887.68,53.2,2715.18,3371.12,24.2,131.59,RAISE
1041,Beauty Item 01,Beauty,margin,15.9,20.38,28.2,5.0,3.2,42.34,42.27,-0.2,78.74,66.12,-16.0,18.37,RAISE
1042,Beauty Item 02,Beauty,margin,62.92,56.54,-10.1,2.5,3.5,96.68,115.72,19.7,155.18,199.35,28.5,57.84,LOWER
1043,Beauty Item 03,Beauty,margin,57.15,53.63,-6.2,25.7,29.1,974.28,1001.39,2.8,1469.9,1563.0,6.3,50.44,LOWER
1044,Beauty Item 04,Beauty,margin,44.03,43.72,-0.7,6.6,6.6,174.15,172.28,-1.1,292.45,290.7,-0.6,41.1,HOLD
1045,Beauty Item 05,Beauty,margin,36.79,52.21,41.9,39.5,31.0,910.26,1191.98,30.9,1454.13,1618.55,11.3,38.16,RAISE
1046,Beauty Item 06,Beauty,margin,57.89,52.45,-9.4,11.4,14.1,409.86,431.25,5.2,659.26,740.4,12.3,56.85,LOWER
1047,Beauty Item 07,Beauty,margin,18.28,24.43,33.6,14.3,13.0,154.0,219.63,42.6,261.87,317.49,21.2,17.04,RAISE
1048,Beauty Item 08,Beauty,margin,37.61,53.12,41.2,40.7,35.0,884.17,1302.85,47.4,1528.9,1857.42,21.5,38.32,RAISE
1049,Beauty Item 09,Beauty,margin,81.2,78.33,-3.5,8.7,9.4,409.72,416.48,1.7,707.85,739.24,4.4,83.79,LOWER
1050,Beauty Item 10,Beauty,margin,92.56,114.63,23.8,2.5,2.7,148.74,222.32,49.5,232.91,313.93,34.8,81.2,RAISE
1001,Electronics Item 01,Electronics,revenue,235.48,194.39,-17.4,7.0,11.5,511.04,373.05,-27.0,1638.4,2240.93,36.8,226.1,LOWER
1002,Electronics Item 02,Electronics,revenue,125.52,120.96,-3.6,44.6,49.5,1791.85,1761.92,-1.7,5601.82,5988.24,6.9,143.85,LOWER
1003,Electronics Item 03,Electronics,revenue,313.46,263.39,-16.0,8.8,12.7,874.41,624.14,-28.6,2761.36,3342.0,21.0,287.63,LOWER
1004,Electronics Item 04,Electronics,revenue,163.37,130.43,-20.2,20.9,33.6,1397.36,1137.25,-18.6,3419.52,4385.9,28.3,141.22,LOWER
1005,Electronics Item 05,Electronics,revenue,259.93,213.03,-18.0,11.7,18.0,1216.69,1022.76,-15.9,3050.87,3838.59,25.8,239.24,LOWER
1006,Electronics Item 06,Electronics,revenue,225.16,207.18,-8.0,32.9,40.9,2627.62,2531.3,-3.7,7407.48,8473.65,14.4,218.93,LOWER
1007,Electronics Item 07,Electronics,revenue,138.01,136.55,-1.1,33.1,34.0,1094.49,1075.34,-1.7,4567.59,4645.28,1.7,148.91,HOLD
1008,Electronics Item 08,Electronics,revenue,157.19,126.97,-19.2,34.8,56.6,2377.7,2158.18,-9.2,5468.18,7186.59,31.4,138.35,LOWER
1009,Electronics Item 09,Electronics,revenue,442.87,381.44,-13.9,27.4,37.5,3482.31,2463.92,-29.2,12126.19,14294.1,17.9,434.87,LOWER
1010,Electronics Item 10,Electronics,revenue,250.37,214.23,-14.4,20.6,29.5,2013.83,1814.9,-9.9,5160.18,6314.85,22.4,248.31,LOWER
1011,Apparel Item 01,Apparel,revenue,22.3,21.14,-5.2,16.2,17.8,175.88,173.45,-1.4,360.17,376.85,4.6,22.4,LOWER
1012,Apparel Item 02,Apparel,revenue,79.13,64.52,-18.5,8.1,12.3,376.12,390.82,3.9,641.15,792.7,23.6,67.66,LOWER
1013,Apparel Item 03,Apparel,revenue,110.94,107.19,-3.4,6.1,6.4,337.41,330.9,-1.9,675.54,686.59,1.6,115.58,LOWER
1014,Apparel Item 04,Apparel,revenue,40.8,36.08,-11.6,14.7,18.7,361.71,371.79,2.8,599.91,674.76,12.5,41.21,LOWER
1015,Apparel Item 05,Apparel,revenue,67.32,51.01,-24.2,10.9,16.7,459.48,429.77,-6.5,735.78,852.03,15.8,55.16,LOWER
1016,Apparel Item 06,Apparel,revenue,75.58,65.52,-13.3,38.7,46.7,1723.68,1612.4,-6.5,2923.61,3062.15,4.7,78.66,LOWER
1017,Apparel Item 07,Apparel,revenue,26.79,24.34,-9.1,3.2,4.2,42.73,44.87,5.0,86.53,101.32,17.1,27.45,LOWER
1018,Apparel Item 08,Apparel,revenue,93.84,89.58,-4.5,40.0,42.8,1849.08,1796.38,-2.9,3751.73,3832.33,2.1,102.63,LOWER
1019,Apparel Item 09,Apparel,revenue,86.97,88.63,1.9,50.7,50.5,2383.1,2458.61,3.2,4410.7,4479.07,1.6,90.13,HOLD
1020,Apparel Item 10,Apparel,revenue,82.36,79.65,-3.3,5.1,5.6,238.02,247.24,3.9,421.03,449.1,6.7,83.05,LOWER
1021,Home & Garden Item 01,Home & Garden,revenue,73.88,63.89,-13.5,41.3,50.4,1462.09,1280.71,-12.4,3053.12,3222.71,5.6,72.7,LOWER
1022,Home & Garden Item 02,Home & Garden,revenue,98.45,94.11,-4.4,34.2,36.2,1589.07,1525.7,-4.0,3368.73,3410.54,1.2,103.04,LOWER
1023,Home & Garden Item 03,Home & Garden,revenue,139.16,135.37,-2.7,29.3,32.2,1537.63,1567.79,2.0,4079.64,4361.51,6.9,156.88,LOWER
1024,Home & Garden Item 04,Home & Garden,revenue,105.36,86.14,-18.2,5.5,7.9,323.51,312.22,-3.5,582.45,684.34,17.5,93.3,LOWER
1025,Home & Garden Item 05,Home & Garden,revenue,20.15,28.93,43.6,42.6,33.9,357.57,581.73,62.7,858.77,980.16,14.1,19.59,RAISE
1026,Home & Garden Item 06,Home & Garden,revenue,68.18,55.29,-18.9,30.3,43.1,1065.94,960.23,-9.9,2066.41,2382.9,15.3,59.64,LOWER
1027,Home & Garden Item 07,Home & Garden,revenue,60.6,54.39,-10.2,43.1,47.6,1366.56,1215.33,-11.1,2609.12,2589.19,-0.8,56.24,LOWER
1028,Home & Garden Item 08,Home & Garden,revenue,181.17,143.71,-20.7,35.9,49.9,3170.38,2534.12,-20.1,6506.31,7166.06,10.1,166.7,LOWER
1029,Home & Garden Item 09,Home & Garden,revenue,187.12,229.15,22.5,33.9,33.4,3482.81,4839.42,39.0,6343.24,7660.1,20.8,154.29,RAISE
1030,Home & Garden Item 10,Home & Garden,revenue,202.1,156.77,-22.4,6.4,8.8,682.91,535.22,-21.6,1298.49,1376.43,6.0,189.86,LOWER
1031,Sports Item 01,Sports,revenue,59.78,49.13,-17.8,3.4,4.4,82.61,59.63,-27.8,204.83,217.65,6.3,57.36,LOWER
1032,Sports Item 02,Sports,revenue,114.84,93.75,-18.4,10.4,15.6,554.65,504.52,-9.0,1193.47,1465.27,22.8,103.19,LOWER
1033,Sports Item 03,Sports,revenue,46.12,37.76,-18.1,21.7,32.6,451.68,406.6,-10.0,1000.55,1232.21,23.2,44.05,LOWER
1034,Sports Item 04,Sports,revenue,121.3,113.49,-6.4,49.4,53.4,2130.43,1883.66,-11.6,5994.46,6056.0,1.0,137.12,LOWER
1035,Sports Item 05,Sports,revenue,167.06,155.14,-7.1,14.4,17.3,975.72,963.91,-1.2,2406.31,2678.98,11.3,170.59,LOWER
1036,Sports Item 06,Sports,revenue,29.66,27.17,-8.4,26.6,31.2,288.05,259.83,-9.8,789.6,847.48,7.3,32.15,LOWER
1037,Sports Item 07,Sports,revenue,32.38,29.09,-10.2,8.3,10.9,111.26,111.32,0.1,267.45,318.12,18.9,32.14,LOWER
1038,Sports Item 08,Sports,revenue,112.66,89.45,-20.6,10.4,16.2,480.26,373.36,-22.3,1169.61,1448.92,23.9,98.11,LOWER
1039,Sports Item 09,Sports,revenue,128.81,113.95,-11.5,18.3,24.2,866.93,784.26,-9.5,2363.38,2759.06,16.7,125.14,LOWER
1040,Sports Item 10,Sports,revenue,138.74,108.51,-21.8,19.6,32.6,1232.14,1068.0,-13.3,2715.18,3540.73,30.4,131.59,LOWER
1041,Beauty Item 01,Beauty,revenue,15.9,15.17,-4.6,5.0,5.1,42.34,40.08,-5.3,78.74,77.75,-1.2,18.37,LOWER
1042,Beauty Item 02,Beauty,revenue,62.92,47.12,-25.1,2.5,4.1,96.68,96.98,0.3,155.18,195.28,25.8,57.84,LOWER
1043,Beauty Item 03,Beauty,revenue,57.15,46.68,-18.3,25.7,37.5,974.28,1027.58,5.5,1469.9,1749.99,19.1,50.44,LOWER
1044,Beauty Item 04,Beauty,revenue,44.03,36.96,-16.1,6.6,9.3,174.15,178.11,2.3,292.45,343.76,17.5,41.1,LOWER
1045,Beauty Item 05,Beauty,revenue,36.79,34.1,-7.3,39.5,44.4,910.26,904.05,-0.7,1454.13,1515.65,4.2,38.16,LOWER
1046,Beauty Item 06,Beauty,revenue,57.89,50.56,-12.7,11.4,14.5,409.86,416.06,1.5,659.26,733.99,11.3,56.85,LOWER
1047,Beauty Item 07,Beauty,revenue,18.28,15.75,-13.8,14.3,18.8,154.0,154.49,0.3,261.87,296.02,13.0,17.04,LOWER
1048,Beauty Item 08,Beauty,revenue,37.61,33.43,-11.1,40.7,51.1,884.17,897.96,1.6,1528.9,1708.52,11.7,38.32,LOWER
1049,Beauty Item 09,Beauty,revenue,81.2,71.35,-12.1,8.7,11.1,409.72,412.81,0.8,707.85,792.84,12.0,83.79,LOWER
1050,Beauty Item 10,Beauty,revenue,92.56,71.27,-23.0,2.5,4.2,148.74,158.11,6.3,232.91,297.94,27.9,81.2,LOWER
